DATASET	PATHOLOGY	CDRGLOB	SUBJECTS (n)	SCANS (N)	MALES	FEMALES	GENDER RATIO (M/F)	MIN AGE	MAX AGE	MEAN AGE	STD AGE	MEDIAN AGE	Q25 AGE	Q75 AGE	AGE RANGE	NUMBER OF SITES	LINK	Publication	Description	Population	Design	Datatype
AIBL	AD, MCI, Controls	NA	>1100	~3500	~520	~580	0.90	60	98	73	6.4	73	68	77	60-98	2	https://aibl.csiro.au/	NA	Longitudinal Australian AD biomarker and lifestyle study	Australian older adults	Longitudinal	Multi-modal MRI, PET, cognitive, biomarker, lifestyle
ADNI	AD, MCI, Controls	NA	>2000	>5000	~960	~1040	0.92	55	90	76.9	6.2	77	73	81	55-90	~60	https://adni.loni.usc.edu/	NA	Landmark North American longitudinal AD biomarker initiative	North American adults	Longitudinal	MRI, PET, CSF, genetics, cognition, clinical
BrainLat	AD, MCI, Controls	NA	1000+	1000+	~480	~520	0.92	50	90	68	9	68.5	62	74	50-90	10+	https://brainlat.com/research/brainlat-dataset/	NA	Latin American multi-site AD/aging neuroimaging and diversity initiative	Latin American adults	Cross-sectional/Longitudinal	MRI, cognitive, behavioral, genetics
OASIS-3	AD, MCI, Controls	NA	>1000	>2000	~470	~530	0.89	42	95	73	8	74	68	81	42-95	1	https://www.oasis-brains.org/	NA	Longitudinal multi-modal imaging and cognitive aging cohort	USA (St. Louis) adults	Longitudinal	MRI, PET, cognitive/clinical
CAMCAN	Healthy aging	NA	>700	>1400	~340	~360	0.94	18	88	52	17	54	38	70	18-88	1	https://www.cam-can.org/	NA	UK single-site lifespan MRI, MEG, cognitive dataset	UK adults (Cambridge)	Cross-sectional	MRI, MEG, cognitive
IXI	Healthy controls	NA	~600	~1600	~300	~300	1.00	20	86	47	16	47	35	59	20-86	3	https://brain-development.org/ixi-dataset/	NA	UK multi-site healthy adult MRI standardization cohort	UK adults (London)	Cross-sectional	MRI
HCP-YA	Healthy controls	NA	1206	>6000	544	662	0.82	22	35	29	3.6	28	25	32	22-35	1	https://www.humanconnectome.org/study/hcp-young-adult	NA	Flagship US high-res connectome/behavior MRI in young adults	USA (Midwest)	Cross-sectional	MRI, dMRI, fMRI, genetics, cognitive
DLBS	Healthy controls	NA	315	315	~150	~165	0.91	20	89	54	18	53	38	70	20-89	1	https://fcon_1000.projects.nitrc.org/indi/retro/dlbs.html	NA	Single-site US lifespan brain/cognition dataset	USA (Dallas)	Cross-sectional	MRI, fMRI, cognitive
MIRIAD	AD, Controls	NA	69	~600	~28	~41	0.68	65	85	71	5.5	70	67	76	65-85	1	https://www.ucl.ac.uk/drc/research-clinical-trials/minimal-interval-resonance-imaging-alzheimers-disease-miriad	NA	Serial MRI for AD atrophy benchmarking	UK elderly adults	Longitudinal	MRI, cognitive
NKI-Enhanced	Healthy controls	NA	~900	>1200	~450	~450	1.00	6	85	36	20	35	20	53	6-85	1	https://fcon_1000.projects.nitrc.org/indi/enhanced/	NA	Lifespan US community MRI, test-retest and deep phenotyping	USA (NY)	Cross-sectional/Test-retest	MRI, dMRI, fMRI, cognitive
MPI-LEMON	Healthy controls	NA	228	228	102	126	0.81	20	77	47	16	46	33	62	20-77	1	https://www.lemon-demo.eu/	NA	German single-site brain, EEG, physiology and cognition	German adults (Leipzig)	Cross-sectional	MRI, EEG, cognitive, physiology
AOMIC	Healthy controls	NA	1250	1250	~600	~650	0.92	19	55	29	7	28	23	36	19-55	1	https://nilab-uva.github.io/AOMIC.github.io/	NA	Dutch open, BIDS-compliant, multi-cohort MRI, cognition	Netherlands (Amsterdam)	Cross-sectional	MRI, fMRI, dMRI, cognitive
openBHB	Healthy controls	NA	4200+	4200+	~2100	~2100	1.00	18	100	52	17	54	38	70	18-100	13+	https://github.com/neurodatascience/open_bhb	NA	Global, multi-site control MRI harmonization/ML dataset	Global (Europe/NA/Asia)	Cross-sectional	MRI
CC390	Healthy adults	NA	390	390	~200	~190	1.05	60	90	70	6	71	66	76	60-90	2	https://sites.google.com/view/calgary-campinas-dataset/home	NA	Multi-site, multi-vendor older healthy MRI for segmentation	Canada, Brazil	Cross-sectional	MRI, raw k-space
CoRR	Healthy controls	NA	1600	6400+	~800	~800	1.00	6	90	38	22	37	23	53	6-90	33	https://fcon_1000.projects.nitrc.org/indi/CoRR/html/	NA	Global, multi-site, test-retest MRI for reliability	International	Cross-sectional/Test-retest	MRI, fMRI
ICBM	Healthy controls	NA	1410	1410	~720	~690	1.04	18	90	35	17	34	24	45	18-90	10+	https://ida.loni.usc.edu/login.jsp?project=ICBM	NA	Gold-standard multi-ethnic template/atlas MRI	Global	Cross-sectional	MRI
SRPBS	Healthy, psychiatric disorders	NA	2000+	2000+	~900	~1100	0.82	18	80	35	17	36	23	48	18-80	5	https://bicr.atr.jp/decnefpro/data/	NA	Japanese multi-site MRI for control/psychiatric harmonization	Japan	Cross-sectional	MRI, fMRI, clinical
