DATASET	Abbreviation	Sites	SUBJECT	SCANS	MALES	FEMALES	MINAGE	MAXAGE	MEANAGE	STD	Median	Q25	Q75	CDR0_0	CDR0_5	CDR1_0	CDR2_0	CDR3_0	Race	Ethnicity	Pathology	LINK	Description	Population	Data	Design	Publication	Research_Article_1_Link	Research_Article_1_Title	Research_Article_1_Description	Research_Article_2_Link	Research_Article_2_Title	Research_Article_2_Description
ABIDE	Autism Brain Imaging Data Exchange	20	1112	1112	948	164	6.5	64	17	8	14.7	11.7	20.1	0	0	0	0	0			Autism	https://fcon_1000.projects.nitrc.org/indi/abide/	A large multi-site resting-state fMRI dataset focused on autism spectrum disorders, designed to facilitate biomarker discovery and reproducible research. 	earth	neuroimaging (MRI)	Cross-sectional	https://www.frontiersin.org/10.3389/conf.fninf.2013.09.00041/event_abstract						
ABIL	Australian Imaging, Biomarker and Lifestyle	2	691	1274	596	677	55	96	73.7	6.8	73	68	79	922	289	52	9	2			AD	https://aibl.org.au/	A prominent longitudinal research initiative launched in 2006 to investigate the development and progression of Alzheimer's disease (AD). 	earth	neuroimaging (MRI, PET), cognitive tests, clinical data, lifestyle information, and biomarkers (blood, genetics)	Longitudinal							
ADNI	Alzheimer’s Disease Neuroimaging Initiative	61	738	3996	2651	2145	55	96	76.6	6.8	77	72	81	2307	2489	0	0	0			AD	https://adni.loni.usc.edu/	A longitudinal study collecting MRI, PET, and clinical data to track Alzheimer's disease progression.	earth	MRI	Longitudinal							
Age-ility	Age-ility	1	131	131	66	65	15	35	21.7	5.2	20	18	24	0	0	0	0	0			HC	https://www.nitrc.org/projects/age-ility/	A multimodal neuroimaging dataset designed to investigate the neural mechanisms underlying cognitive control across the adult lifespan. It provides high-quality, open-access data suitable for studying brain structure, function, and electrophysiology in healthy young adults.	earth	MRI (3T) T1 anatomical scan, DWI, Resting state fMRI; EEG (64 channels): Resting state EEG	Cross-sectional	https://www.sciencedirect.com/science/article/abs/pii/S105381191500347X						
AOMIC_ID1000	Amsterdam Open MRI Collection	1	928	928	445	483	19	26	22.8	1.7	22.8	21.2	24.2	0	0	0	0	0			HC	https://nilab-uva.github.io/AOMIC.github.io/	Part of the Amsterdam Open MRI Collection, this dataset includes multimodal MRI data from 1,000 participants, focusing on individual differences.	earth	neuroimaging (MRI)	Cross-sectional	https://www.biorxiv.org/content/10.1101/2020.06.16.155317v1						
AOMIC_PIOP1	Amsterdam Open MRI Collection	1	216	216	89	120	18.2	26.2	22.2	1.8	22.2	20.8	23.2	0	0	0	0	0			HC	https://nilab-uva.github.io/AOMIC.github.io/	Datasets from the Amsterdam Open MRI Collection, containing task-based and resting-state fMRI data to study cognitive and emotional processes.​	earth	neuroimaging (MRI)	Cross-sectional	https://www.biorxiv.org/content/10.1101/2020.06.16.155317v1						
AOMIC_PIOP2	Amsterdam Open MRI Collection	1	226	226	96	129	18.2	25.8	22	1.8	22	20.5	23.2	0	0	0	0	0			HC	https://nilab-uva.github.io/AOMIC.github.io/	Datasets from the Amsterdam Open MRI Collection, containing task-based and resting-state fMRI data to study cognitive and emotional processes.​	earth	neuroimaging (MRI)	Cross-sectional	https://www.biorxiv.org/content/10.1101/2020.06.16.155317v1						
BGSP	Brain Genomics Superstruct Project	5	1570	1570	665	905	19	35	21.5	2.9	21	19	23	0	0	0	0	0	W_NOT_HL	W_NOT_HL	HC	https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25833	A large-scale neuroimaging dataset developed by Harvard and MGH, the BGSP includes structural and functional MRI data from over 1,500 healthy young adults, along with behavioral, cognitive, and genetic information.	earth	neuroimaging (MRI)	Cross-sectional							
BHRC	Brazilian High Risk Cohort Study	2	610	907	540	367	5.8	14.3	9.8	1.8	9.7	8.5	11.1	0	0	0	0	0	White	Hispanic or Latino	HC	https://osf.io/ktz5h/	A longitudinal study based in Brazil aiming to understand the development of mental disorders in children and adolescents.	earth	neuroimaging (MRI)	Cross-sectional	https://onlinelibrary.wiley.com/doi/epdf/10.1002/mpr.1459						
BrainLat		5	761	761	326	445	21	98	68.5	10.9	70	62	76	0	0	0	0	0			AD	https://www.synapse.org/Synapse:syn51549340/files/	The BrainLat Project is a comprehensive, open-access neuroimaging dataset developed by the Latin American Brain Health Institute (BrainLat) to advance research on neurodegenerative diseases within underrepresented populations. It encompasses multimodal data from 780 participants across five Latin American countries: Argentina, Chile, Colombia, Mexico, and Peru.​	earth	neuroimaging (MRI)	Cross-sectional							
