"Pathology/Component","Dataset","Reason 1","Reason 2","Reason 3","Caution"
"Alzheimer's Disease","ADNI","Standard dataset, widely used in many studies","Restricted but easy to access","Deep phenotyped datasets","Multi-site, multi-vendor, multi-sequence data can be daunting sometimes"
"Young Adults (Healthy)","AOMIC","Easy to access","Large cohort size","High-quality imaging data","No cognitive tests associated with the study; low diversity"
"Schizophrenia","COBRE","Easy to access","Includes both patients and controls","High-quality imaging data","Small cohort size"
"Healthy Genetics","BGSP","Large cohort with necessary modalities for statistical significance","Restricted but easy to access","Widely considered important","Approval may take time; need to apply to both Harvard Dataverse and IDA LONI"
"Dementia (MRI + PET)","MCSA","Longitudinal data with over 3500 scans","Restricted but easy to access","Key dataset to test on; relatively new","Identifying the imaging site is difficult; may cause harmonization issues"
"Healthy Aging","IXI","Easy to access","Widely used","Easy handling","Contains both 1.5T and 3T scans; low diversity"
"Harmonization","CORR","Easy to access","Multi-site data with scanner parameters documented","Widely used","Aggregating scanner information can be time-consuming"
"Large MRI Data (Elderly)","OASIS-3","Restricted but easy to access","Very large cohort","Deeply phenotyped","Limited diversity"
"Large MRI Data (Young)","HBN","Easy to access","Very large cohort","Deeply phenotyped","Restricted access to labels/cognitive tests"
"Deeply Phenotyped Large Data","NKI-Enhanced","Easy to access","Very large cohort","Deeply phenotyped","Ongoing study; restricted access to labels/cognitive tests"
"Latin American Data","BrainLat","Restricted but easy to access","Multi-disorder data","Deeply phenotyped","Doesn't cover all of South America; dataset heterogeneity due to multi-site nature"
"Brazil","BHRC","Easy to access","Very large cohort","Only large open-source Brazilian dataset","Restricted access to labels/cognitive tests"
"Chinese Young Adults Data","C-HCP","Chinese data","High-quality imaging data","Part of the Human Connectome Project","Restricted age range"
"Chinese","ISYB","Chinese data","Includes both patients and controls","Demographic information available in version 2","Demographic info only available in version 2"
"Japanese","SRPBS","Japanese data","Multi-disorder data","Deeply phenotyped","Requires DUA to access demographics of one of the sites"
